i,true_cluster_id,true_Jr,true_Jz,true_Jphi,true_energy,true_parallax
157,29,535.8532843271917,445.89760193843546,-637.1842121245354,-153301.98323556373,0.27486780285835266
158,29,592.9428674710615,429.0537333584562,-536.4395695349593,-153957.84037333573,0.2010750025510788
159,29,544.354022375523,414.70878494986766,-658.3842378113858,-153304.88077190463,0.333635151386261
160,29,511.46656547782743,469.4729887108708,-640.0703131254633,-153290.28929270097,0.4420533776283264
161,29,527.283082851315,466.39690373926175,-625.9437910219731,-153351.03772905326,0.2835487127304077
162,29,618.3943090966525,430.96670006842373,-479.93872541167366,-154489.64274805816,0.2081432044506073
163,29,511.06987702471315,453.63557369394033,-688.0154363242037,-152860.673279722,0.20115350186824799
164,29,520.2105489381945,483.8466666470986,-635.0097375171026,-152946.97674978556,0.2283831536769867
165,30,365.4130398704227,605.9403007123765,562.2961958435135,-157666.58579882263,0.21100623905658722
166,31,614.4529668569763,89.51818724904541,1733.1803800534217,-136849.83946235522,0.35841891169548035
167,31,553.8191170962797,82.938247414817,1718.3914221148007,-138847.42962424702,0.28562092781066895
168,32,793.8249231475795,169.9570257778015,303.8059334808765,-159571.19169938503,0.3427473306655884
169,32,772.9995830978368,198.61021457600077,248.33579478574026,-160351.8705399957,1.405587911605835
170,32,810.0973233972333,169.51109153847185,259.08928389706523,-160056.25982976725,0.21846096217632294
171,33,53.94420634293371,885.2318524383004,1126.249877666096,-147662.04155667304,0.22542314231395721
172,33,102.81576367196584,808.6823462037912,1009.4349747995502,-150575.5744105017,0.298618346452713
173,33,78.79172415743531,814.9298662069663,1099.7879319431229,-149127.4408406997,0.22208036482334137
174,33,77.48365066106773,792.2247826888164,1128.2873259206722,-149078.57307760624,0.5616018176078796
175,34,55.82489202455665,101.01437906742154,2140.1171486205276,-144522.69566227563,0.2672955393791199
176,34,81.68969791754817,105.28169847082235,2028.7315617806034,-146072.81497806445,0.31176328659057617
177,34,51.48604386231205,109.18046737171368,2135.7573282764247,-144524.61202699243,0.28130581974983215
178,34,75.69608024867793,109.91803868583852,2093.8256809762474,-144662.60408337723,0.20934440195560455
179,34,64.55855500261526,119.73080629771901,2099.153055360595,-144623.524632733,0.21223197877407074
180,35,153.52504120018054,471.3097566470546,-998.6980974783078,-158477.97272519805,0.33981430530548096
181,35,88.89509041220651,516.5483791519389,-1052.8290009874804,-158185.77408505045,0.23540808260440826
182,35,155.77432565990821,476.7862854945827,-991.3762720239228,-158451.7865652821,0.41404637694358826
183,35,124.15779142731185,477.9045356382424,-1037.4608583065692,-158260.00207692123,0.23829859495162964
184,35,168.7364330070049,456.8457579721564,-988.4589619988146,-158592.67728920127,0.38571223616600037
185,35,96.05186517674026,511.4497908259894,-1042.494426078556,-158275.86454512906,0.2227245420217514
186,36,560.7311975053873,320.282181550079,-355.536695824303,-163819.52653645255,0.3756173551082611
187,36,496.68633014261695,392.46994139715804,-407.0010194232127,-162713.12066729498,0.22207270562648773
188,36,504.4574852786253,327.6077482488375,-472.15671471294894,-162794.7448880179,0.20561827719211578
189,36,479.790440679814,350.0473567639019,-467.08064775830746,-163049.40137878965,0.22283507883548737
190,36,531.2204251956166,351.46222498156214,-380.26208134070464,-163205.44089358297,0.3177745044231415
191,36,527.3332587219874,337.7180263883484,-399.674150612831,-163223.6678964108,0.2115408033132553
192,36,462.3698591928012,387.1964446357767,-477.4418025435297,-162513.1643515918,0.27925658226013184
193,37,601.025344864572,170.45469594370172,-403.96091312713907,-165801.52744757498,0.20384864509105682
194,37,647.3593294911209,208.5525126807308,-292.67772420747565,-165296.38337078856,0.42186760902404785
195,37,634.8423843360689,225.27516717724427,-295.8507338169147,-164874.61230921923,0.22969961166381836
196,37,611.4615514116579,192.33387643027615,-320.0402636968892,-166709.9824837466,0.25133106112480164
197,37,609.495111676469,160.06297285976316,-407.24018654218725,-165723.44596916178,0.6384595036506653
198,37,680.5629782627838,143.3421121333031,-294.7163251144012,-166218.74610242766,0.2369428277015686
199,37,687.3703642475008,155.72309096183915,-297.39803547090645,-165156.9785690188,0.3827013373374939
200,37,692.591783574922,168.34617886916638,-262.59949187145685,-165443.0235064031,0.3163491487503052
201,38,638.7513518431468,187.42686298570322,-410.9428479203708,-162927.46887901513,0.21689359843730927
202,38,653.2132794502531,236.26371721275788,-341.7587559990034,-162582.58862840504,0.20439963042736053
203,38,626.5418140690463,282.53674999071166,-325.7900197047856,-162693.1130685071,0.27823469042778015
204,38,693.9459915089964,190.71266451921883,-312.2976375087492,-163129.03865131867,0.23394662141799927
205,38,630.0693290429351,183.90307948058145,-454.7071644192964,-162505.6409805078,0.2835676968097687
206,38,661.1111919481762,170.30749455653122,-402.54148143556085,-163034.9755937517,0.26369813084602356
207,38,686.1227326447915,132.95086956040566,-400.0795770365403,-163313.72909881978,0.296334832906723
208,38,688.3851572438118,156.0605686925059,-356.8877681911881,-163539.65174797055,0.3285403251647949
209,38,678.6306213162327,136.0025430248542,-411.7145548189728,-163267.6492108298,0.21731612086296082
210,39,36.671768690281446,46.09907907613491,-2524.638160054797,-138544.1515673042,0.4574705958366394
211,39,61.34611936652307,42.443615542033164,-2496.0207032171816,-138530.16654557467,0.30066898465156555
212,39,46.40142703805532,58.84410117093758,-2482.467785544614,-138778.04597588922,0.22081483900547028
213,39,44.39922953317553,47.68050966610464,-2511.5561887506515,-138549.80748177887,0.2403237521648407
214,39,52.199376371386165,42.7849575127891,-2507.2127652355734,-138551.842666768,0.45268142223358154
215,39,66.49396397874555,67.57247438270683,-2607.0144894335326,-135635.91734356995,0.2649729549884796
216,39,52.21042521300747,50.49919060470241,-2493.1400727351993,-138621.7275381448,0.42524176836013794
217,39,36.83714010671614,46.260370408386656,-2379.021582910873,-141506.3727420075,0.5963451266288757
218,39,42.3626353267259,58.29125605405407,-2415.419578043364,-140250.9230597638,0.2170495241880417
219,39,55.508879176061825,56.24774815199433,-2474.65376227637,-138747.18157503192,0.3019653558731079
220,40,688.8824643625151,78.64503750169463,-164.4803807579083,-172801.46604629888,0.263024240732193
221,41,677.0195699307083,174.1200504757264,-1103.8590665580264,-144648.35551992763,2.826408624649048
222,41,643.2272413359888,214.9112432129879,-1211.518210864233,-142932.79079646704,0.27531057596206665
223,42,159.98612792488868,211.9769219298008,-1627.363757164719,-149698.434778674,0.40091463923454285
224,42,179.79620214510572,184.1413000786925,-1578.5576543172683,-151001.57241951508,0.21661622822284698
225,42,185.63269858777278,191.43217738619887,-1558.7933028768339,-151069.79189387336,0.26217108964920044
226,43,340.6859965350511,178.58257351816584,-731.071764764165,-168299.5097989576,0.2322130650281906
227,43,353.54466039738884,163.250936241575,-705.4093903456558,-169214.68338868796,0.24014805257320404
228,43,338.9086733218008,179.06376800097584,-700.6077134843689,-169460.15009848124,0.22541336715221405
229,43,311.476377365002,165.67296938005467,-770.1227102086415,-169142.1076852571,0.23781831562519073
230,44,316.27372667057114,200.70955093597726,1290.3611118152678,-152738.4341180713,0.2739911377429962
231,44,276.99963991088254,274.4924906432884,1203.6666925273892,-153989.59933879887,0.5073679089546204
232,44,307.07577764108345,258.39942663155836,1176.7992496952704,-154147.03817896533,0.20182347297668457
233,44,293.3320157318682,259.5698309974121,1195.8945521124947,-154134.75369668484,0.23137882351875305
234,44,339.5722969081381,244.37884026698333,1240.9331605260968,-151430.27958625887,0.9939674139022827
235,45,235.35318834292184,111.70461318059411,-2739.302288846097,-128398.48047497141,0.372662752866745
236,45,274.4820837941838,98.59734396657018,-2700.911294585523,-128389.29309744574,0.3163074553012848
237,45,253.54705730967095,96.47376334780053,-2734.2763368601136,-128361.49096874218,0.44252946972846985
238,45,241.871263513415,110.38473805414587,-2732.1862231008017,-128397.75792189571,0.5978493690490723
239,45,240.76657826415808,112.20658890549218,-2727.8453153653913,-128456.38944181529,0.2740090489387512
240,45,237.51660010781828,102.7156391992751,-2748.7380197289067,-128376.83682822494,0.5559560060501099
241,46,1167.4871188091977,45.197048403678764,-10.327673660853167,-155444.63652095274,0.3813798427581787
242,46,1103.4703425488544,74.92559261133118,49.67164909160789,-155869.74450847687,0.20716670155525208
243,46,1118.335533467493,59.897876088179274,79.05159695084149,-155153.3566263,0.40266531705856323
244,46,1121.0052778731595,54.52193525081449,53.33366159477009,-155932.84381684684,0.4268202483654022
245,46,1138.9385036908561,24.807915671214992,88.62817916540916,-155680.01977653918,0.8239361643791199
246,46,1080.3099629853268,141.3309100967403,17.31399207355199,-155031.65450230762,0.2816624641418457
247,46,1040.216652747054,160.09799835927018,14.819702480264871,-156091.99387820027,0.21476536989212036
248,47,533.785289125957,384.71104085311646,361.30353274960817,-162861.4998682263,0.33429938554763794
249,47,637.4218976901074,227.5616036911668,340.01754277860346,-163624.96755327642,0.5175408720970154
250,47,583.0281526234285,305.4050369197733,337.9549671484092,-163674.96174242755,0.29144570231437683
251,47,604.1633818369628,278.69918836300775,334.04534422825236,-163728.170182396,0.2200075089931488
252,47,596.2766850146199,314.2090565893771,301.8314798635438,-163944.60559955938,0.2765117287635803
253,47,564.793936032616,352.38240532243975,333.5427633675549,-163121.4156233761,0.349385142326355
254,47,615.9760109759034,254.64528109075104,333.83405082266836,-163939.41830679466,0.24483342468738556
255,47,659.3392469481254,235.57421230875013,259.40758706416284,-164759.54318788974,0.2252536416053772
256,48,394.61944887419827,701.1186850207034,79.69117131166784,-169479.63275311736,0.20579318702220917
257,48,482.05323752181886,494.6797074254085,56.008018162479765,-171134.94248834669,0.24987438321113586
258,48,430.9493753887354,515.3114365357994,138.26228719246228,-170801.96668086774,0.28556808829307556
259,48,472.35159178575157,418.736747157341,130.74275127944566,-171856.59535715627,0.24963007867336273
260,48,436.58472424944756,535.9503274279467,137.45913705950986,-170540.76698759128,0.2914159297943115
261,48,430.54605127858684,604.1721521979655,65.91101762620235,-170410.1322014638,0.21598295867443085
262,48,433.51403700878797,608.4671981851886,41.501268212175425,-170433.46320563275,0.22881962358951569
263,48,481.05678897692076,501.66966066457496,48.54165586284397,-170743.16166864274,0.2075754851102829
264,48,461.26127060370976,592.2014646148782,-28.3577479812293,-170752.3866997715,0.27570247650146484
265,49,261.1261608876406,422.03505648833993,837.2274815427818,-159757.09842447637,0.4778236448764801
266,49,278.7720548124436,417.710861386908,827.1595900381872,-159693.76789510314,0.26951074600219727
267,49,302.52352270504934,350.7718931510085,866.2196659637449,-159716.03861998723,0.30989494919776917
268,49,243.21075071986257,458.06069972278226,843.1496321540108,-159421.57682138873,0.3602426052093506
269,49,219.07932126469254,537.2195989824078,836.3865209584261,-158283.78125341274,0.2094869464635849
270,49,223.80684976303624,457.8620976062043,870.5144044151033,-159612.0938711566,0.3610997498035431
271,49,286.6337323649552,369.51354584451,863.8306508696896,-159728.645608228,0.6300725340843201
272,49,223.21628087307158,470.36821097887724,857.2549011579478,-159365.63923766353,0.24714210629463196
273,49,287.27612754763504,360.06815080033493,877.5756355388875,-159702.344601806,0.31992578506469727
274,49,227.5194436956355,526.1262534876704,788.3899927673189,-159675.4719684744,0.23320290446281433
